unitid,instnm,domain,source,status
140960,Savannah State University,savannahstate.edu,google,ok
140988,Shorter University,shorter.edu,google,ok
141006,South Georgia Technical College,southgatech.edu,placeholder,ok
141060,Spelman College,spelman.edu,wikipedia,ok
141167,Thomas University,thomasu.edu,wikipedia,ok
141185,Toccoa Falls College,tfc.edu,google,ok
141237,Truett McConnell University,truett.edu,google,ok
141255,Wiregrass Georgia Technical College,wiregrass.edu,google,ok
141264,Valdosta State University,valdosta.edu,google,ok
141325,Wesleyan College,wesleyancollege.edu,wikipedia,ok
141334,University of West Georgia,westga.edu,google,ok
141361,Young Harris College,yhc.edu,google,ok
141486,Chaminade University of Honolulu,chaminade.edu,google,ok
141565,University of Hawaii at Hilo,hilo.hawaii.edu,google,ok
141574,University of Hawaii at Manoa,manoa.hawaii.edu,google,ok
141608,Hawaii Institute of Hair Design,hihd.edu,google,ok
141644,Hawaii Pacific University,hpu.edu,google,ok
141680,Honolulu Community College,honolulu.hawaii.edu,google,ok
141796,Kapiolani Community College,kapiolani.hawaii.edu,google,ok
141802,Kauai Community College,kauai.hawaii.edu,placeholder,ok
141811,Leeward Community College,leeward.hawaii.edu,google,ok
141839,University of Hawaii Maui College,maui.hawaii.edu,google,ok
141963,University of Hawaii System Office,hawaii.edu,google,ok
141981,University of Hawaii-West Oahu,westoahu.hawaii.edu,google,ok
141990,Windward Community College,windward.hawaii.edu,google,ok
142054,Carrington College-Boise,carrington.edu,google,ok
142090,Boise Bible College,boisebible.edu,google,ok
142115,Boise State University,boisestate.edu,google,ok
142179,College of Eastern Idaho,cei.edu,placeholder,ok
142276,Idaho State University,isu.edu,google,ok
142285,University of Idaho,uidaho.edu,google,ok
142294,The College of Idaho,collegeofidaho.edu,google,ok
142328,Lewis-Clark State College,lcsc.edu,google,ok
142407,Aveda Institute-Twin Falls,avedaidaho.com,google,ok
142443,North Idaho College,nic.edu,wikipedia,ok
142461,Northwest Nazarene University,nnu.edu,google,ok
142489,Nathan Layne Institute of Cosmetology,nathanlayneinstitute.com,google,ok
142522,Brigham Young University-Idaho,byui.edu,google,ok
142559,College of Southern Idaho,csi.edu,google,ok
142832,Adler University,adler.edu,google,ok
142887,American Academy of Art College,,wikipedia,ok
142957,American Islamic College,aicusa.edu,google,ok
143048,School of the Art Institute of Chicago,saic.edu,google,ok
143084,Augustana College,augustana.edu,google,ok
143118,Aurora University,aurora.edu,google,ok
143215,Southwestern Illinois College,swic.edu,google,ok
143233,Bethany Theological Seminary,bethanyseminary.edu,wikipedia,ok
143279,Black Hawk College,bhc.edu,google,ok
143288,Blackburn College,blackburn.edu,google,ok
143297,Blessing Rieman College of Nursing and Health Sciences,brcn.edu,google,ok
143358,Bradley University,bradley.edu,google,ok
143376,Paul Mitchell the School-Tinley Park,paulmitchell.edu,google,ok
143464,Cameo Beauty Academy,cameobeautyacademy.com,google,ok
143473,Cannella School of Hair Design-Villa Park,cannellaschool.com,google,ok
143482,Cannella School of Hair Design-Chicago,,google-favicon-256,ok
143491,Cannella School of Hair Design-Chicago,cannellaschool.com,google,ok
143552,Capri Beauty College,capri.edu,google,ok
143613,Carl Sandburg College,sandburg.edu,google,ok
143659,Catholic Theological Union at Chicago,ctu.edu,google,ok
143853,Midwestern University-Downers Grove,midwestern.edu,google,ok
143978,The Chicago School at Chicago,thechicagoschool.edu,duckduckgo,ok
144005,Chicago State University,csu.edu,duckduckgo,ok
144014,Chicago Theological Seminary,ctschicago.edu,google,ok
144050,University of Chicago,uchicago.edu,google,ok
144157,City Colleges of Chicago-Kennedy-King College,ccc.edu,google,ok
144166,City Colleges of Chicago-Malcolm X College,ccc.edu,google,ok
144175,City Colleges of Chicago-Olive-Harvey College,ccc.edu,google,ok
144184,City Colleges of Chicago-Harry S Truman College,ccc.edu,google,ok
144193,City Colleges of Chicago-Richard J Daley College,ccc.edu,google,ok
144209,City Colleges of Chicago-Harold Washington College,ccc.edu,google,ok
144218,City Colleges of Chicago-Wilbur Wright College,ccc.edu,google,ok
144281,Columbia College Chicago,colum.edu,google,ok
144351,Concordia University-Chicago,cuchicago.edu,google,ok
144500,City Colleges of Chicago-District Office,ccc.edu,google,ok
144564,Danville Area Community College,dacc.edu,google,ok
144573,Tricoci University of Beauty Culture,tricociuniversity.edu,google,ok
144740,DePaul University,depaul.edu,google,ok
144777,DeVry University-Administrative Office,devry.edu,google,ok
144795,Cosmetology & Spa Academy,cosmetologyandspaacademy.edu,google,ok
144865,College of DuPage,cod.edu,wikipedia,ok
144883,East-West University,eastwest.edu,google,ok
144892,Eastern Illinois University,eiu.edu,google,ok
144944,Elgin Community College,elgin.edu,google,ok
144962,Elmhurst University,elmhurst.edu,google,ok
144971,Eureka College,eureka.edu,google,ok
145099,"First Institute of Travel, Inc.",firstinstitute.edu,google,ok
145239,Fox College,foxcollege.edu,google,ok
145275,Garrett-Evangelical Theological Seminary,garrett.edu,google,ok
145309,Gem City College,gemcitycollege.com,google,ok
145336,Governors State University,govst.edu,google,ok
145354,Graham Hospital School of Nursing,grahamschoolofnursing.org,google,ok
145372,Greenville University,greenville.edu,google,ok
145406,G Skin & Beauty Institute,gskinbeautyinstitute.edu,google,ok
145424,Hair Professionals Career College,hairpros.edu,google,ok
145433,Hair Professionals School of Cosmetology,hairpros.edu,google,ok
145497,Hebrew Theological College,htc.edu,google,ok
145521,Highland Community College,highland.edu,google,ok
145558,Rosalind Franklin University of Medicine and Science,rosalindfranklin.edu,google,ok
145600,University of Illinois Chicago,uic.edu,google,ok
145619,Benedictine University,ben.edu,google,ok
145628,Illinois College of Optometry,ico.edu,google,ok
145637,University of Illinois Urbana-Champaign,illinois.edu,google,ok
145646,Illinois Wesleyan University,iwu.edu,duckduckgo,ok
145682,Illinois Central College,icc.edu,wikipedia,ok
145691,Illinois College,ic.edu,google,ok
145707,Illinois Eastern Community Colleges,iecc.edu,google,ok
145725,Illinois Institute of Technology,iit.edu,google,ok
145813,Illinois State University,illinoisstate.edu,google,ok
145831,Illinois Valley Community College,ivcc.edu,google,ok
145886,Institute for Clinical Social Work,icsw.edu,google,ok
146205,John A Logan College,jalc.edu,google,ok
146278,John Wood Community College,jwcc.edu,google,ok
146296,Joliet Junior College,jjc.edu,google,ok
146339,Judson University,judsonu.edu,google,ok
146348,Kankakee Community College,kcc.edu,google,ok
146366,Kaskaskia College,kaskaskia.edu,google,ok
146418,Kishwaukee College,kish.edu,google,ok
146427,Knox College,knox.edu,google,ok
146454,Educators of Beauty College of Cosmetology-Peru,educatorsofbeauty.com,google,ok
146472,College of Lake County,clcillinois.edu,placeholder,ok
146481,Lake Forest College,lakeforest.edu,google,ok
146490,Lake Forest Graduate School of Management,lfgsm.edu,google,ok
146506,Lake Land College,lakelandcollege.edu,google,ok
146533,Lakeview College of Nursing,lcn.edu,placeholder,ok
146603,Lewis and Clark Community College,lc.edu,google,ok
146612,Lewis University,lewisu.edu,google,ok
146667,Lincoln Christian University,,placeholder,ok
146685,Lincoln Land Community College,llcc.edu,google,ok
146700,Lincoln College of Technology-Melrose Park,lincolntech.edu,google,ok
146719,Loyola University Chicago,luc.edu,google,ok
146728,Lutheran School of Theology at Chicago,lstc.edu,placeholder,ok
146755,Trinity College of Nursing & Health Sciences,trinitycollegeqc.edu,google,ok
146807,Steven Papageorge Hair Academy,stevenpapageorgehairacademy.com,google,ok
146816,Generations College,generations.edu,google,ok
146977,McCormick Theological Seminary,mccormick.edu,google,ok
147004,McHenry County College,mchenry.edu,google,ok
147013,McKendree University,mckendree.edu,wikipedia,ok
147031,Meadville Theological School of Lombard College,meadville.edu,google,ok
147129,Methodist College,methodistcol.edu,google,ok
147244,Millikin University,millikin.edu,google,ok
147341,Monmouth College,monmouthcollege.edu,google,ok
147369,Moody Bible Institute,moody.edu,google,ok
147378,Moraine Valley Community College,morainevalley.edu,wikipedia,ok
147396,Morrison Institute of Technology,morrisontech.edu,google,ok
147411,Morton College,morton.edu,google,ok
147536,National Louis University,nl.edu,wikipedia,ok
147590,National University of Health Sciences,nuhs.edu,google,ok
147642,Cosmetology Concepts Niles,johnamicoschoolofhairdesign.com,google,ok
147660,North Central College,northcentralcollege.edu,google,ok
147679,North Park University,northpark.edu,wikipedia,ok
147697,Northern Baptist Theological Seminary,seminary.edu,google,ok
147703,Northern Illinois University,niu.edu,google,ok
147767,Northwestern University,northwestern.edu,google,ok
147776,Northeastern Illinois University,neiu.edu,wikipedia,ok
147800,Oakton College,oakton.edu,google,ok
147819,Oehrlein School of Cosmetology,oehrleinschool.com,duckduckgo,ok
147828,Olivet Nazarene University,olivet.edu,google,ok
147916,Parkland College,parkland.edu,google,ok
148007,Prairie State College,prairiestate.edu,google,ok
148016,Principia College,principiacollege.edu,google,ok
148098,Professional's Choice Hair Design Academy,pchairdesign.com,placeholder,ok
148131,Quincy University,quincy.edu,google,ok
148256,Rend Lake College,rlc.edu,google,ok
148292,Richland Community College,richland.edu,google,ok
148380,Rock Valley College,rockvalleycollege.edu,google,ok
148405,Rockford University,rockford.edu,wikipedia,ok
148487,Roosevelt University,roosevelt.edu,google,ok
148496,Dominican University,dom.edu,wikipedia,ok
148511,Rush University,rushu.rush.edu,google,ok
148575,Saint Francis Medical Center College of Nursing,sfmccon.edu,placeholder,ok
148584,University of St Francis,stfrancis.edu,google,ok
148593,St. John's College-Department of Nursing,hshs.org,placeholder,ok
148627,Saint Xavier University,sxu.edu,google,ok
148654,University of Illinois Springfield,uis.edu,google,ok
148672,Sauk Valley Community College,svcc.edu,google,ok
148821,Shawnee Community College,shawneecc.edu,google,ok
148876,St. Augustine College,staugustine.edu,google,ok
148885,University of Saint Mary of the Lake,usml.edu,google,ok
148937,Southeastern Illinois College,sic.edu,google,ok
148955,National Latino Education Institute,,placeholder,ok
148982,Spertus College,spertus.edu,google,ok
148991,Spoon River College,src.edu,google,ok
149028,Saint Anthony College of Nursing,sacn.edu,placeholder,ok
149204,Educators of Beauty College of Cosmetology-Sterling,educatorsofbeauty.com,google,ok
149222,Southern Illinois University-Carbondale,siu.edu,wikipedia,ok
149231,Southern Illinois University Edwardsville,siue.edu,wikipedia,ok
149240,Southern Illinois University-System Office,siusystem.edu,google,ok
149310,Taylor Business Institute,tbiil.edu,google,ok
149329,Telshe Yeshiva-Chicago,telsheyeshivachicago.com,duckduckgo,ok
149365,South Suburban College,ssc.edu,google,ok
149505,Trinity Christian College,trnty.edu,wikipedia,ok
149514,Trinity International University-Illinois,tiu.edu,google,ok
149532,Triton College,triton.edu,google,ok
149550,University of Spa & Cosmetology Arts,uscart.com,google,ok
149587,University of Illinois System Offices,uillinois.edu,placeholder,ok
149639,VanderCook College of Music,vandercook.edu,google,ok
149727,Waubonsee Community College,waubonsee.edu,wikipedia,ok
149772,Western Illinois University,wiu.edu,google,ok
149781,Wheaton College,wheaton.edu,google,ok
149842,William Rainey Harper College,harpercollege.edu,placeholder,ok
150066,Anderson University,anderson.edu,google,ok
150136,Ball State University,bsu.edu,google,ok
150145,Bethel University,betheluniversity.edu,google,ok
150163,Butler University,butler.edu,google,ok
150172,Calumet College of Saint Joseph,ccsj.edu,google,ok
150215,Christian Theological Seminary,cts.edu,google,ok
150251,College of Court Reporting Inc,ccr.edu,google,ok
150288,Concordia Theological Seminary,ctsfw.edu,google,ok
150303,Tricoci University of Beauty Culture-Highland,tricociuniversity.edu,google,ok
150400,DePauw University,depauw.edu,google,ok
150428,Don Roberts School of Hair Design,donrobertsspaschool.com,google,ok
150455,Earlham College,earlham.edu,google,ok
150534,University of Evansville,evansville.edu,google,ok
150604,Franklin College,franklincollege.edu,google,ok
150668,Goshen College,goshen.edu,google,ok
150677,Grace College and Theological Seminary,grace.edu,google,ok
150756,Hanover College,hanover.edu,google,ok
150765,J Michael Harrold Beauty Academy,harroldbeautyacademy.com,google,ok
150774,Holy Cross College,hcc-nd.edu,google,ok
150853,PJ's College of Cosmetology-Clarksville,gotopjs.com,google,ok
150941,Huntington University,huntington.edu,google,ok
150987,Ivy Tech Community College,ivytech.edu,placeholder,ok
151102,Purdue University Fort Wayne,pfw.edu,google,ok
151111,Indiana University-Indianapolis,indianapolis.iu.edu,google,ok
151263,University of Indianapolis,uindy.edu,google,ok
151290,Indiana Institute of Technology,indianatech.edu,google,ok
151306,University of Southern Indiana,usi.edu,google,ok
151324,Indiana State University,indianastate.edu,google,ok
151333,Indiana University-Kokomo,kokomo.iu.edu,google,ok
151342,Indiana University-South Bend,southbend.iu.edu,google,ok
151351,Indiana University-Bloomington,bloomington.iu.edu,google,ok
151360,Indiana University-Northwest,northwest.iu.edu,google,ok
151379,Indiana University-Southeast,southeast.iu.edu,google,ok
151388,Indiana University-East,east.iu.edu,google,ok
151467,International Business College-Indianapolis,ibcindianapolis.edu,google,ok
151564,Taylor Institute of Cosmetology II,kbc.edu,placeholder,ok
151607,Tricoci University of Beauty Culture-Lafayette,tricociuniversity.edu,google,ok
151661,Lincoln College of Technology-Indianapolis,lincolntech.edu,google,ok
151777,Manchester University,manchester.edu,google,ok
151786,Marian University,marian.edu,wikipedia,ok
151801,Indiana Wesleyan University-Marion,indwes.edu,google,ok
151810,Martin University,martin.edu,google,ok
151865,Anabaptist Mennonite Biblical Seminary,ambs.edu,google,ok
151962,Mid-America College of Funeral Service,mid-america.edu,google,ok
152044,West Michigan College of Barbering and Beauty,westmichigancollegeofbarberingandbeauty.com,google,ok
152080,University of Notre Dame,nd.edu,google,ok
152099,Oakland City University,oak.edu,google,ok
152150,PJ's College of Cosmetology-Richmond,gotopjs.com,google,ok
152275,Ravenscroft Beauty College,ravenscroftcollege.com,google,ok
152309,Rogers Academy of Hair Design,rogershair.com,google,ok
152318,Rose-Hulman Institute of Technology,rose-hulman.edu,google,ok
152336,University of Saint Francis-Fort Wayne,sf.edu,google,ok
152381,Saint Mary-of-the-Woods College,smwc.edu,google,ok
152390,Saint Mary's College,saintmarys.edu,google,ok
152451,Saint Meinrad School of Theology,saintmeinrad.edu,google,ok
152497,Saint Elizabeth School of Nursing,steson.org,google,ok
152530,Taylor University,taylor.edu,google,ok
152567,Trine University,trine.edu,duckduckgo,ok
152600,Valparaiso University,valpo.edu,google,ok
152628,Vincennes Beauty College,vincennesbeautycollege.com,google,ok
152637,Vincennes University,vinu.edu,wikipedia,ok
152673,Wabash College,wabash.edu,wikipedia,ok
152798,Allen College,allencollege.edu,google,ok
152992,Briar Cliff University,briarcliff.edu,google,ok
153001,Buena Vista University,bvu.edu,google,ok
153074,Capri College-Dubuque,capricollege.edu,google,ok
153083,Capri College-Cedar Rapids,capricollege.edu,google,ok
153108,Central College,central.edu,google,ok
153126,Clarke University,clarke.edu,google,ok
153144,Coe College,coe.edu,wikipedia,ok
153162,Cornell College,cornellcollege.edu,google,ok
153214,Des Moines Area Community College,dmacc.edu,wikipedia,ok
153241,Divine Word College,dwci.edu,wikipedia,ok
153250,Dordt University,dordt.edu,google,ok
153269,Drake University,drake.edu,duckduckgo,ok
153278,University of Dubuque,dbq.edu,wikipedia,ok
153296,Ellsworth Community College,ecc.iavalley.edu,google,ok
153302,Emmaus Bible College,emmaus.edu,google,ok
153311,Eastern Iowa Community College District,eicc.edu,wikipedia,ok
153320,Faith Baptist Bible College and Theological Seminary,faith.edu,google,ok
153366,Graceland University-Lamoni,graceland.edu,google,ok
153375,Grand View University,grandview.edu,wikipedia,ok
153384,Grinnell College,grinnell.edu,duckduckgo,ok
153427,Orion Technical College,orion.edu,google,ok
153445,Hawkeye Community College,hawkeyecollege.edu,wikipedia,ok
153463,American Hair Academy,americanhairacademy.com,google,ok
153472,Indian Hills Community College,indianhills.edu,google,ok
153524,Iowa Central Community College,iowacentral.edu,google,ok
153533,Iowa Lakes Community College,iowalakes.edu,google,ok
153542,UnityPoint Health-Des Moines School of Radiologic Technology,unitypoint.org,google,ok
153597,Iowa School of Beauty-Des Moines,iowaschoolofbeauty.com,google,ok
153603,Iowa State University,iastate.edu,google,ok
153630,Iowa Western Community College,iwcc.edu,google,ok
153658,University of Iowa,uiowa.edu,google,ok
153737,Kirkwood Community College,kirkwood.edu,google,ok
153746,La James International College-Cedar Falls,ljic.edu,google,ok
153764,La James International College-Johnston,ljic.edu,google,ok
153773,La James College of Hairstyling and Cosmetology,lajames.edu,google,ok
153782,La James International College-Ft Dodge,ljic.edu,google,ok
153825,Loras College,loras.edu,google,ok
153834,Luther College,luther.edu,wikipedia,ok
153861,Maharishi International University,miu.edu,google,ok
153922,Marshalltown Community College,mcc.iavalley.edu,google,ok
153977,Mercy College of Health Sciences,mchs.edu,google,ok
154004,Morningside University,morningside.edu,google,ok
154013,Mount Mercy University,mtmercy.edu,google,ok
154022,Ashford University,uagc.edu,google,ok
154059,North Iowa Area Community College,niacc.edu,wikipedia,ok
154095,University of Northern Iowa,uni.edu,google,ok
154101,Northwestern College,nwciowa.edu,google,ok
154110,Northeast Iowa Community College,nicc.edu,google,ok
154129,Northwest Iowa Community College,nwicc.edu,google,ok
154156,Des Moines University-Osteopathic Medical Center,dmu.edu,google,ok
154174,Palmer College of Chiropractic,palmer.edu,google,ok
154208,PCI Academy-Ames,pci-academy.com,google,ok
154235,Saint Ambrose University,sau.edu,google,ok
154262,St Luke's College,stlukescollege.edu,google,ok
154332,La James International College-Davenport,ljic.edu,google,ok
154350,Simpson College,simpson.edu,google,ok
154378,Southeastern Community College,scciowa.edu,google,ok
154396,Southwestern Community College,swcciowa.edu,google,ok
154448,Capri College-Davenport,capricollege.edu,google,ok
154457,Iowa School of Beauty-Sioux City,iowaschoolofbeauty.com,google,ok
154466,SOHO Hair Academy,sohohairacademy.com,google,ok
154493,Upper Iowa University,uiu.edu,google,ok
154518,Waldorf University,waldorf.edu,google,ok
154527,Wartburg College,wartburg.edu,google,ok
154536,Wartburg Theological Seminary,wartburgseminary.edu,google,ok
154545,The Salon Professional Academy-Cedar Falls,tspacedarfalls.com,placeholder,ok
154572,Western Iowa Tech Community College,witcc.edu,google,ok
154590,William Penn University,wmpenn.edu,wikipedia,ok
154642,Allen County Community College,allencc.edu,google,ok
154688,Baker University,bakeru.edu,google,ok
154697,Barton County Community College,bartonccc.edu,google,ok
154712,Benedictine College,benedictine.edu,google,ok
154721,Bethany College,bethanylb.edu,google,ok
154749,Bethel College-North Newton,bethelks.edu,google,ok
154800,Butler Community College,butlercc.edu,wikipedia,ok
154855,Central Christian College of Kansas,centralchristian.edu,google,ok
154907,Cloud County Community College,cloud.edu,placeholder,ok
154925,Coffeyville Community College,coffeyville.edu,google,ok
154934,Colby Community College,colbycc.edu,google,ok
154952,Cowley County Community College,cowley.edu,google,ok
154998,Dodge City Community College,dc3.edu,google,ok
155007,Donnelly College,donnelly.edu,google,ok
155025,Emporia State University,emporia.edu,google,ok
155052,Flint Hills Technical College,fhtc.edu,google,ok
155061,Fort Hays State University,fhsu.edu,google,ok
155070,Barclay College,barclaycollege.edu,google,ok
155089,Friends University,friends.edu,google,ok
155098,Fort Scott Community College,fortscott.edu,google,ok
155104,Garden City Community College,gcccks.edu,google,ok
155140,Haskell Indian Nations University,haskell.edu,google,ok
155159,Hays Academy of Hair Design,haysacademy.edu,placeholder,ok
155177,Hesston College,hesston.edu,google,ok
155186,Highland Community College,highlandcc.edu,google,ok
155195,Hutchinson Community College,hutchcc.edu,google,ok
155201,Independence Community College,indycc.edu,google,ok
155210,Johnson County Community College,jccc.edu,google,ok
155283,Concorde Career College-Kansas City,concorde.edu,placeholder,ok
155292,Kansas City Kansas Community College,kckcc.edu,google,ok
155308,Kansas Christian College,kansaschristian.edu,google,ok
155317,University of Kansas,ku.edu,google,ok
155335,Newman University,newmanu.edu,google,ok
155353,Old Town Barber College,otbcollege.com,google,ok
155399,Kansas State University,k-state.edu,google,ok
155414,Kansas Wesleyan University,kwu.edu,google,ok
155423,Washburn Institute of Technology,washburntech.edu,google,ok
155450,Labette Community College,labette.edu,google,ok
155487,Manhattan Area Technical College,manhattantech.edu,google,ok
155496,Manhattan Christian College,mccks.edu,google,ok
155511,McPherson College,mcpherson.edu,placeholder,ok
155520,MidAmerica Nazarene University,mnu.edu,google,ok
155566,Neosho County Community College,neosho.edu,google,ok
155593,Fort Hays Tech North Central,fhtechnc.edu,google,ok
155618,Fort Hays State University-Northwest Kansas Technical College,fhnw.edu,google,ok
155627,Ottawa University-Ottawa,ottawa.edu,wikipedia,ok
155636,Ottawa University-Kansas City,ottawa.edu,wikipedia,ok
155681,Pittsburg State University,pittstate.edu,wikipedia,ok
155715,Pratt Community College,prattcc.edu,placeholder,ok
155812,University of Saint Mary,stmary.edu,google,ok
155830,Salina Area Technical College,salinatech.edu,google,ok
155858,Seward County Community College,sccc.edu,google,ok
155900,Southwestern College,sckans.edu,placeholder,ok
155937,Sterling College,sterling.edu,google,ok
155973,Tabor College,tabor.edu,google,ok
156082,Washburn University,washburn.edu,google,ok
156107,Wichita State University-Campus of Applied Sciences and Technology,wsutech.edu,google,ok
156125,Wichita State University,wichita.edu,google,ok
156134,Wichita Technical Institute,wti.edu,google,ok
156189,Alice Lloyd College,alc.edu,google,ok
156213,Asbury University,asbury.edu,google,ok
156222,Asbury Theological Seminary,asburyseminary.edu,wikipedia,ok
156231,Ashland Community and Technical College,ashland.kctcs.edu,google,ok
156286,Bellarmine University,bellarmine.edu,google,ok
156295,Berea College,berea.edu,google,ok
156310,PJ's College of Cosmetology-Bowling Green,gotopjs.com,google,ok
156338,Southcentral Kentucky Community and Technical College,southcentral.kctcs.edu,google,ok
156356,Brescia University,brescia.edu,google,ok
156365,Campbellsville University,campbellsville.edu,wikipedia,ok
156392,Bluegrass Community and Technical College,bluegrass.kctcs.edu,google,ok
156408,Centre College,centre.edu,google,ok
156417,Clear Creek Baptist Bible College,ccbbc.edu,google,ok
156426,Paul Mitchell the School-Lexington,paulmitchell.edu,google,ok
156471,Galen College of Nursing-Louisville,galencollege.edu,google,ok
156541,University of the Cumberlands,ucumberlands.edu,google,ok
156620,Eastern Kentucky University,eku.edu,google,ok
156648,Elizabethtown Community and Technical College,elizabethtown.kctcs.edu,google,ok
156727,Frontier Nursing University,frontier.edu,google,ok
156745,Georgetown College,georgetowncollege.edu,google,ok
156754,PJ's College of Cosmetology-Glasgow,gotopjs.com,google,ok
156790,Hazard Community and Technical College,hazard.kctcs.edu,google,ok
156842,Paul Mitchell the School-Louisville,paulmitchell.edu,google,ok
156851,Henderson Community College,henderson.kctcs.edu,google,ok
156860,Hopkinsville Community College,hopkinsville.kctcs.edu,google,ok
156921,Jefferson Community and Technical College,jefferson.kctcs.edu,google,ok
156967,Summit Salon Academy-Lexington,summitsalonacademy.org,google,ok
157021,American National University-Pikeville,an.edu,google,ok
157030,Kentucky Mountain Bible College,kmbc.edu,placeholder,ok
157058,Kentucky State University,kysu.edu,google,ok
157076,Kentucky Wesleyan College,kwc.edu,google,ok
157085,University of Kentucky,uky.edu,google,ok
157100,Kentucky Christian University,kcu.edu,google,ok
157207,Lexington Theological Seminary,lextheo.edu,google,ok
157216,Lindsey Wilson College,lindsey.edu,wikipedia,ok
157289,University of Louisville,louisville.edu,wikipedia,ok
157298,Louisville Presbyterian Theological Seminary,lpts.edu,placeholder,ok
157304,Madisonville Community College,madisonville.kctcs.edu,google,ok
157331,Maysville Community and Technical College,maysville.kctcs.edu,google,ok
157377,Midway University,midway.edu,placeholder,ok
157386,Morehead State University,moreheadstate.edu,google,ok
157401,Murray State University,murraystate.edu,google,ok
157438,Gateway Community and Technical College,gateway.kctcs.edu,google,ok
157447,Northern Kentucky University,nku.edu,wikipedia,ok
157483,West Kentucky Community and Technical College,westkentucky.kctcs.edu,google,ok
157535,University of Pikeville,upike.edu,google,ok
157553,Big Sandy Community and Technical College,bigsandy.kctcs.edu,google,ok
157614,Empire Beauty School-Chenoweth,empire.edu,placeholder,ok
157650,Empire Beauty School-Elizabethtown,empire.edu,placeholder,ok
157669,Empire Beauty School-Dixie,empire.edu,placeholder,ok
157678,Empire Beauty School-Florence,empire.edu,placeholder,ok
157711,Somerset Community College,somerset.kctcs.edu,google,ok
157739,Southeast Kentucky Community & Technical College,southeast.kctcs.edu,google,ok
157748,The Southern Baptist Theological Seminary,sbts.edu,google,ok
157757,Spalding University,spalding.edu,google,ok
157793,Sullivan University,sullivan.edu,google,ok
157809,Thomas More University,thomasmore.edu,google,ok
157818,Transylvania University,transy.edu,google,ok
157854,Kentucky Community and Technical College System,systemoffice.kctcs.edu,google,ok
157863,Union Commonwealth University,unionky.edu,placeholder,ok
157951,Western Kentucky University,wku.edu,duckduckgo,ok
158088,Central Louisiana Technical Community College,cltcc.edu,google,ok
158246,Ayers Career College,ayers.edu,google,ok
158325,Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,brgeneral.org,placeholder,ok
158431,Bossier Parish Community College,bpcc.edu,google,ok
158477,Centenary College of Louisiana,centenary.edu,google,ok
158538,Cloyd's Beauty School 1 Inc,cloydsbeautyschools.edu,placeholder,ok
158617,Crescent City Bartending School,crescent.edu,placeholder,ok
158662,Delgado Community College,dcc.edu,wikipedia,ok
158778,Avery James College,averyjamesschool.com,google,ok
158787,Denham Springs Beauty School,dsbc.edu,placeholder,ok
158802,Dillard University,dillard.edu,google,ok
158884,Nunez Community College,nunez.edu,google,ok
159009,Grambling State University,gram.edu,wikipedia,ok
159027,Belbo Beauty Institute,belbobeautyinstitute.com,placeholder,ok
159197,ITI Technical College,iticollege.edu,google,ok
159328,John Jay Beauty College,johnjaybeautycollege.com,google,ok
159373,Louisiana State University Health Sciences Center-New Orleans,lsuhsc.edu,placeholder,ok
159382,Louisiana State University-Alexandria,lsua.edu,google,ok
159391,Louisiana State University and Agricultural & Mechanical College,lsu.edu,wikipedia,ok
159407,Louisiana State University-Eunice,lsue.edu,placeholder,ok
159416,Louisiana State University-Shreveport,lsus.edu,google,ok
159513,Aveda Arts & Sciences Institute-Baton Rouge,avedaarts.edu,google,ok
159522,Aveda Arts & Sciences Institute-Lafayette,avedaarts.edu,google,ok
159531,Louisiana Academy of Beauty,louisianaacademyofbeauty.com,placeholder,ok
159568,Louisiana Christian University,lcuniversity.edu,google,ok
159601,Opelousas School of Cosmetology,opelousascosmetology.com,placeholder,ok
159647,Louisiana Tech University,latech.edu,google,ok
159656,Loyola University New Orleans,loyno.edu,google,ok
159717,McNeese State University,mcneese.edu,google,ok
159939,University of New Orleans,new.uno.edu,google,ok
159948,New Orleans Baptist Theological Seminary,nobts.edu,google,ok
159966,Nicholls State University,nicholls.edu,wikipedia,ok
159993,University of Louisiana at Monroe,ulm.edu,google,ok
160010,Northwest Louisiana Technical Community College,nltcc.edu,google,ok
160038,Northwestern State University of Louisiana,nsula.edu,google,ok
160065,University of Holy Cross,uhcno.edu,google,ok
160074,Franciscan Missionaries of Our Lady University,franu.edu,duckduckgo,ok
160117,Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport,,placeholder,ok
160126,Celebrity Stylist Beauty School,celebritystylistbeautyschool.com,google,ok
160199,Pineville Beauty School,pinevillebeauty.com,placeholder,ok
160320,Aveda Arts & Sciences Institute-Covington,avedaarts.edu,google,ok
160409,Saint Joseph Seminary College,sjasc.edu,placeholder,ok
160472,LaSalle Tech,lasalletech.edu,google,ok
160481,Fletcher Technical Community College,fletcher.edu,google,ok
160524,Remington College-Lafayette Campus,remingtoncollege.edu,google,ok
160533,Southern University-Board and System,sus.edu,google,ok
160579,SOWELA Technical Community College,sowela.edu,google,ok
160597,Stevensons Academy of Hair Design,stevenson-academy.com,placeholder,ok
160612,Southeastern Louisiana University,southeastern.edu,google,ok
160621,Southern University and A & M College,subr.edu,wikipedia,ok
160630,Southern University at New Orleans,suno.edu,wikipedia,ok
160649,Southern University at Shreveport,susla.edu,wikipedia,ok
160658,University of Louisiana at Lafayette,louisiana.edu,wikipedia,ok
